num_models,fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
17,train,52,"[3668, 3674): 'Tigers'",ORG,,,,,,,
17,train,52,"[3709, 3726): 'Chicago White Sox'",ORG,,,,,,,
17,train,52,"[3732, 3738): 'Tigers'",ORG,,,,,,,
17,train,52,"[3845, 3854): 'White Sox'",ORG,,,,,,,
17,train,52,"[3899, 3910): 'Kansas City'",LOC,,,,,,,
17,train,52,"[3912, 3923): 'Juan Guzman'",PER,,,,,,,
17,train,52,"[4037, 4054): 'Toronto Blue Jays'",ORG,,,,,,,
17,train,52,"[4095, 4101): 'Royals'",ORG,,,,,,,
17,train,52,"[4103, 4109): 'Guzman'",PER,,,,,,,
17,train,52,"[4246, 4255): 'Minnesota'",LOC,,,,,,,
17,train,52,"[4345, 4362): 'Milwaukee Brewers'",ORG,,,,,,,
17,train,52,"[4390, 4395): 'Twins'",ORG,,,,,,,
17,train,52,"[4411, 4414): 'RBI'",MISC,,,,,,,
17,train,52,"[4448, 4451): 'RBI'",MISC,,,,,,,
17,train,52,"[4453, 4466): 'Jose Valentin'",PER,,,,,,,
17,train,53,"[37, 40): 'PSV'",ORG,,,,,,,
17,train,53,"[50, 59): 'AMSTERDAM'",LOC,,,,,,,
17,train,53,"[71, 82): 'Philip Cocu'",PER,,,,,,,
17,train,53,"[123, 136): 'PSV Eindhoven'",ORG,,,,,,,
17,train,53,"[160, 172): 'NEC Nijmegen'",ORG,,,,,,,
17,train,53,"[180, 185): 'Dutch'",MISC,,,,,,,
17,train,53,"[302, 314): 'Arthur Numan'",PER,,,,,,,
17,train,53,"[319, 328): 'Luc Nilis'",PER,,,,,,,
17,train,53,"[330, 335): 'Dutch'",MISC,,,,,,,
17,train,53,"[365, 368): 'PSV'",ORG,,,,,,,
17,train,53,"[387, 401): 'Ajax Amsterdam'",ORG,,,,,,,
17,train,53,"[449, 458): 'NAC Breda'",ORG,,,,,,,
17,train,54,"[49, 58): 'AMSTERDAM'",LOC,,,,,,,
17,train,54,"[97, 102): 'Dutch'",MISC,,,,,,,
17,train,54,"[125, 137): 'NEC Nijmegen'",ORG,,,,,,,
17,train,54,"[159, 172): 'PSV Eindhoven'",ORG,,,,,,,
17,train,54,"[200, 204): 'Cocu'",PER,,,,,,,
17,train,55,"[19, 24): 'DUTCH'",MISC,,,,,,,
17,train,55,"[48, 57): 'AMSTERDAM'",LOC,,,,,,,
17,train,55,"[81, 86): 'Dutch'",MISC,,,,,,,
17,train,55,"[121, 133): 'NEC Nijmegen'",ORG,,,,,,,
17,train,55,"[136, 149): 'PSV Eindhoven'",ORG,,,,,,,
17,train,56,"[58, 64): 'GENEVA'",LOC,,,,,,,
17,train,56,"[96, 107): 'Adrian Knup'",PER,,,,,,,
17,train,56,"[171, 182): 'Switzerland'",LOC,,,,,,,
17,train,56,"[191, 200): 'World Cup'",MISC,,,,,,,
17,train,56,"[219, 229): 'Azerbaijan'",LOC,,,,,,,
17,train,56,"[233, 237): 'Baku'",LOC,,,,,,,
17,train,56,"[252, 256): 'Knup'",PER,,,,,,,
17,train,56,"[275, 286): 'Artur Jorge'",PER,,,,,,,
17,train,56,"[295, 303): 'European'",MISC,,,,,,,
17,train,56,"[357, 369): 'Rolf Fringer'",PER,,,,,,,
17,train,56,"[442, 453): 'Switzerland'",LOC,,,,,,,
17,train,56,"[536, 549): 'Marco Pascolo'",PER,,,,,,,
17,train,56,"[551, 559): 'Cagliari'",ORG,,,,,,,
17,train,56,"[562, 581): 'Pascal Zuberbuehler'",PER,,,,,,,
17,train,56,"[583, 595): 'Grasshoppers'",ORG,,,,,,,
17,train,56,"[609, 625): 'Stephane Henchoz'",PER,,,,,,,
17,train,56,"[627, 634): 'Hamburg'",ORG,,,,,,,
17,train,56,"[637, 650): 'Marc Hottiger'",PER,,,,,,,
17,train,56,"[652, 659): 'Everton'",ORG,,,,,,,
17,train,56,"[662, 674): 'Yvan Quentin'",PER,,,,,,,
17,train,56,"[676, 680): 'Sion'",ORG,,,,,,,
17,train,56,"[683, 693): 'Ramon Vega'",PER,,,,,,,
17,train,56,"[695, 703): 'Cagliari'",ORG,,,,,,,
17,train,56,"[705, 718): 'Raphael Wicky'",PER,,,,,,,
17,train,56,"[720, 724): 'Sion'",ORG,,,,,,,
17,train,56,"[740, 759): 'Alexandre Comisetti'",PER,,,,,,,
17,train,56,"[761, 773): 'Grasshoppers'",ORG,,,,,,,
17,train,56,"[776, 792): 'Antonio Esposito'",PER,,,,,,,
17,train,56,"[794, 806): 'Grasshoppers'",ORG,,,,,,,
17,train,56,"[809, 827): 'Sebastien Fournier'",PER,,,,,,,
17,train,56,"[841, 857): 'Christophe Ohrel'",PER,,,,,,,
17,train,56,"[870, 887): 'Patrick Sylvestre'",PER,,,,,,,
17,train,56,"[889, 893): 'Sion'",ORG,,,,,,,
17,train,56,"[896, 906): 'David Sesa'",PER,,,,,,,
17,train,56,"[908, 916): 'Servette'",ORG,,,,,,,
17,train,56,"[919, 933): 'Ciriaco Sforza'",PER,,,,,,,
17,train,56,"[935, 946): 'Inter Milan'",ORG,,,,,,,
17,train,56,"[948, 959): 'Murat Yakin'",PER,,,,,,,
17,train,56,"[961, 973): 'Grasshoppers'",ORG,,,,,,,
17,train,56,"[986, 1004): 'Kubilay Turkyilmaz'",PER,,,,,,,
17,train,56,"[1006, 1018): 'Grasshoppers'",ORG,,,,,,,
17,train,56,"[1021, 1032): 'Adrian Knup'",PER,,,,,,,
17,train,56,"[1034, 1045): 'Galatasaray'",ORG,,,,,,,
17,train,56,"[1048, 1065): 'Christophe Bonvin'",PER,,,,,,,
17,train,56,"[1067, 1071): 'Sion'",ORG,,,,,,,
17,train,56,"[1074, 1092): 'Stephane Chapuisat'",PER,,,,,,,
17,train,56,"[1094, 1111): 'Borussia Dortmund'",ORG,,,,,,,
17,train,57,"[64, 72): 'BRUSSELS'",LOC,,,,,,,
17,train,57,"[107, 115): 'Brussels'",LOC,,,,,,,
17,train,58,"[17, 28): 'GERMAN OPEN'",MISC,,,,,,,
17,train,58,"[49, 58): 'STUTTGART'",LOC,,,,,,,
17,train,58,"[60, 67): 'Germany'",LOC,,,,,,,
17,train,58,"[156, 163): 'Britain'",LOC,,,,,,,
17,train,58,"[183, 198): 'Paul Broadhurst'",PER,,,,,,,
17,train,58,"[202, 217): 'Raymond Russell'",PER,,,,,,,
17,train,58,"[221, 237): 'David J. Russell'",PER,,,,,,,
17,train,58,"[239, 255): 'Michael Campbell'",PER,,,,,,,
17,train,58,"[284, 299): 'Bernhard Langer'",PER,,,,,,,
17,train,58,"[301, 308): 'Germany'",LOC,,,,,,,
17,train,58,"[311, 325): 'Ronan Rafferty'",PER,,,,,,,
17,train,58,"[340, 346): 'Sweden'",LOC,,,,,,,
17,train,58,"[349, 360): 'Wayne Riley'",PER,,,,,,,
17,train,58,"[362, 371): 'Australia'",LOC,,,,,,,
17,train,58,"[376, 388): 'Eamonn Darcy'",PER,,,,,,,
17,train,58,"[390, 397): 'Ireland'",LOC,,,,,,,
17,train,58,"[400, 409): 'Per Nyman'",PER,,,,,,,
17,train,58,"[411, 417): 'Sweden'",LOC,,,,,,,
17,train,58,"[420, 435): 'Russell Claydon'",PER,,,,,,,
17,train,58,"[437, 445): 'Mark Roe'",PER,,,,,,,
17,train,58,"[447, 460): 'Retief Goosen'",PER,,,,,,,
17,train,58,"[462, 474): 'South Africa'",LOC,,,,,,,
17,train,58,"[477, 489): 'Carl Suneson'",PER,,,,,,,
17,train,58,"[493, 506): 'Stephen Field'",PER,,,,,,,
17,train,58,"[508, 519): 'Paul Lawrie'",PER,,,,,,,
17,train,58,"[532, 543): 'Max Anglert'",PER,,,,,,,
17,train,58,"[545, 551): 'Sweden'",LOC,,,,,,,
17,train,58,"[554, 570): 'Miles Tunnicliff'",PER,,,,,,,
17,train,58,"[572, 588): 'Christian Cevaer'",PER,,,,,,,
17,train,58,"[590, 596): 'France'",LOC,,,,,,,
17,train,58,"[599, 608): 'Des Smyth'",PER,,,,,,,
17,train,58,"[610, 617): 'Ireland'",LOC,,,,,,,
17,train,58,"[620, 632): 'David Carter'",PER,,,,,,,
17,train,58,"[634, 646): 'Lee Westwood'",PER,,,,,,,
17,train,58,"[663, 672): 'Australia'",LOC,,,,,,,
17,train,58,"[675, 694): 'Miguel Angel Martin'",PER,,,,,,,
17,train,58,"[696, 701): 'Spain'",LOC,,,,,,,
17,train,58,"[704, 716): 'Thomas Bjorn'",PER,,,,,,,
17,train,58,"[718, 725): 'Denmark'",LOC,,,,,,,
17,train,58,"[728, 741): 'Fernando Roca'",PER,,,,,,,
17,train,58,"[743, 748): 'Spain'",LOC,,,,,,,
17,train,58,"[786, 804): 'Padraig Harrington'",PER,,,,,,,
17,train,58,"[806, 813): 'Ireland'",LOC,,,,,,,
17,train,58,"[831, 844): 'Thomas Gogele'",PER,,,,,,,
17,train,58,"[846, 853): 'Germany'",LOC,,,,,,,
17,train,58,"[856, 869): 'Paul McGinley'",PER,,,,,,,
17,train,58,"[871, 878): 'Ireland'",LOC,,,,,,,
17,train,58,"[881, 889): 'Gary Orr'",PER,,,,,,,
17,train,58,"[891, 911): 'Jose-Maria Canizares'",PER,,,,,,,
17,train,58,"[913, 918): 'Spain'",LOC,,,,,,,
17,train,58,"[921, 935): 'Michael Jonzon'",PER,,,,,,,
17,train,58,"[937, 943): 'Sweden'",LOC,,,,,,,
17,train,58,"[946, 956): 'Paul Eales'",PER,,,,,,,
17,train,58,"[958, 972): 'David Williams'",PER,,,,,,,
17,train,58,"[974, 988): 'Andrew Coltart'",PER,,,,,,,
17,train,58,"[990, 1004): 'Jonathan Lomas'",PER,,,,,,,
17,train,58,"[1006, 1017): 'Jose Rivero'",PER,,,,,,,
17,train,58,"[1019, 1024): 'Spain'",LOC,,,,,,,
17,train,58,"[1027, 1042): 'Robert Karlsson'",PER,,,,,,,
17,train,58,"[1044, 1050): 'Sweden'",LOC,,,,,,,
17,train,58,"[1053, 1065): 'Marcus Wills'",PER,,,,,,,
17,train,58,"[1067, 1080): 'Pedro Linhart'",PER,,,,,,,
17,train,58,"[1082, 1087): 'Spain'",LOC,,,,,,,
17,train,58,"[1104, 1115): 'Terry Price'",PER,,,,,,,
17,train,58,"[1117, 1126): 'Australia'",LOC,,,,,,,
17,train,58,"[1129, 1147): 'Juan Carlos Pinero'",PER,,,,,,,
17,train,58,"[1149, 1154): 'Spain'",LOC,,,,,,,
17,train,59,"[63, 69): 'GENEVA'",LOC,,,,,,,
17,train,59,"[81, 87): 'Norway'",LOC,,,,,,,
17,train,59,"[89, 96): 'England'",LOC,,,,,,,
17,train,59,"[101, 107): 'Sweden'",LOC,,,,,,,
17,train,59,"[194, 202): 'UEFA Cup'",MISC,,,,,,,
17,train,59,"[216, 222): 'Norway'",LOC,,,,,,,
17,train,59,"[297, 304): 'England'",LOC,,,,,,,
17,train,59,"[319, 325): 'Sweden'",LOC,,,,,,,
17,train,59,"[616, 630): 'UEFA Fair Play'",MISC,,,,,,,
17,train,59,"[648, 654): 'Norway'",LOC,,,,,,,
17,train,59,"[670, 677): 'England'",LOC,,,,,,,
17,train,59,"[686, 692): 'Sweden'",LOC,,,,,,,
17,train,59,"[753, 760): 'Ireland'",LOC,,,,,,,
17,train,59,"[769, 776): 'Belarus'",LOC,,,,,,,
17,train,59,"[785, 792): 'Iceland'",LOC,,,,,,,
17,train,59,"[802, 813): 'Netherlands'",LOC,,,,,,,
17,train,59,"[823, 830): 'Denmark'",LOC,,,,,,,
17,train,59,"[840, 847): 'Germany'",LOC,,,,,,,
17,train,59,"[857, 865): 'Scotland'",LOC,,,,,,,
17,train,59,"[891, 898): 'Moldova'",LOC,,,,,,,
17,train,59,"[908, 918): 'Yugoslavia'",LOC,,,,,,,
17,train,59,"[928, 935): 'Belgium'",LOC,,,,,,,
17,train,59,"[945, 955): 'Luxembourg'",LOC,,,,,,,
17,train,59,"[1087, 1094): 'Ukraine'",LOC,,,,,,,
17,train,59,"[1136, 1145): 'Macedonia'",LOC,,,,,,,
17,train,59,"[1174, 1181): 'Austria'",LOC,,,,,,,
17,train,59,"[1191, 1197): 'Russia'",LOC,,,,,,,
17,train,59,"[1224, 1230): 'Turkey'",LOC,,,,,,,
17,train,59,"[1257, 1271): 'Czech Republic'",LOC,,,,,,,
17,train,59,"[1281, 1287): 'Greece'",LOC,,,,,,,
17,train,59,"[1297, 1313): 'Northern Ireland'",LOC,,,,,,,
17,train,59,"[1323, 1328): 'Italy'",LOC,,,,,,,
17,train,59,"[1338, 1344): 'Cyprus'",LOC,,,,,,,
17,train,59,"[1354, 1361): 'Armenia'",LOC,,,,,,,
17,train,59,"[1371, 1379): 'Slovenia'",LOC,,,,,,,
17,train,59,"[1389, 1396): 'Croatia'",LOC,,,,,,,
17,train,59,"[1406, 1414): 'Bulgaria'",LOC,,,,,,,
17,train,59,"[1424, 1429): 'Malta'",LOC,,,,,,,
17,train,60,"[76, 83): 'COLOMBO'",LOC,,,,,,,
17,train,60,"[144, 153): 'Australia'",LOC,,,,,,,
17,train,60,"[181, 190): 'Sri Lanka'",LOC,,,,,,,
17,train,60,"[254, 263): 'Australia'",LOC,,,,,,,
17,train,60,"[268, 277): 'Sri Lanka'",LOC,,,,,,,
17,train,60,"[329, 334): 'India'",LOC,,,,,,,
17,train,60,"[339, 347): 'Zimbabwe'",LOC,,,,,,,
17,train,60,"[544, 553): 'World Cup'",MISC,,,,,,,
17,train,60,"[613, 622): 'Australia'",LOC,,,,,,,
17,train,60,"[713, 726): 'Ricky Ponting'",PER,,,,,,,
17,train,60,"[852, 862): 'Australian'",MISC,,,,,,,
17,train,60,"[869, 880): 'Geoff Marsh'",PER,,,,,,,
17,train,61,"[45, 53): 'BULGARIA'",LOC,,,,,,,
17,train,61,"[55, 60): 'SOFIA'",LOC,,,,,,,
17,train,61,"[76, 84): 'Romanian'",MISC,,,,,,,
17,train,61,"[193, 202): 'Bulgarian'",MISC,,,,,,,
17,train,61,"[219, 227): 'Bulgaria'",LOC,,,,,,,
17,train,61,"[332, 338): 'Rousse'",LOC,,,,,,,
17,train,61,"[343, 357): 'Veliko Tarnovo'",LOC,,,,,,,
17,train,61,"[374, 382): 'Romanian'",MISC,,,,,,,
17,train,61,"[472, 486): 'Sofia Newsroom'",ORG,,,,,,,
17,train,62,"[38, 40): 'OJ'",ORG,,,,,,,
17,train,62,"[139, 146): 'Journal'",ORG,,,,,,,
17,train,62,"[165, 186): 'Commission Regulation'",MISC,,,,,,,
17,train,62,"[367, 388): 'Commission Regulation'",MISC,,,,,,,
17,train,62,"[566, 587): 'Commission Regulation'",MISC,,,,,,,
17,train,63,"[11, 25): 'In Home Health'",ORG,,,,,,,
17,train,63,"[52, 62): 'MINNETONKA'",LOC,,,,,,,
17,train,63,"[64, 68): 'Minn'",LOC,,,,,,,
17,train,63,"[81, 99): 'In Home Health Inc'",ORG,,,,,,,
17,train,63,"[170, 181): 'Minneapolis'",LOC,,,,,,,
17,train,63,"[200, 236): 'Health Care Financing Administration'",ORG,,,,,,,
17,train,63,"[238, 242): 'HCFA'",ORG,,,,,,,
17,train,63,"[293, 301): 'Medicaid'",MISC,,,,,,,
17,train,63,"[590, 598): 'Medicare'",MISC,,,,,,,
17,train,63,"[802, 816): 'In Home Health'",ORG,,,,,,,
17,train,63,"[942, 956): 'In Home Health'",ORG,,,,,,,
17,train,63,"[1128, 1136): 'Medicare'",MISC,,,,,,,
17,train,63,"[1246, 1254): 'Medicare'",MISC,,,,,,,
17,train,63,"[1396, 1404): 'Medicare'",MISC,,,,,,,
17,train,63,"[1420, 1436): 'Chicago Newsdesk'",ORG,,,,,,,
17,train,64,"[11, 30): 'Oppenheimer Capital'",ORG,,,,,,,
17,train,64,"[51, 59): 'NEW YORK'",LOC,,,,,,,
17,train,64,"[71, 93): 'Oppenheimer Capital LP'",ORG,,,,,,,
17,train,65,"[11, 15): 'Best'",ORG,,,,,,,
17,train,65,"[49, 57): 'RICHMOND'",LOC,,,,,,,
17,train,65,"[74, 90): 'Best Products Co'",ORG,,,,,,,
17,train,65,"[120, 131): 'Daniel Levy'",PER,,,,,,,
17,train,65,"[277, 284): 'Reuters'",ORG,,,,,,,
17,train,65,"[505, 509): 'Levy'",PER,,,,,,,
17,train,65,"[574, 578): 'Best'",ORG,,,,,,,
17,train,65,"[592, 602): 'Chapter 11'",MISC,,,,,,,
17,train,65,"[777, 781): 'Levy'",PER,,,,,,,
17,train,65,"[845, 859): 'Richmond-based'",MISC,,,,,,,
17,train,65,"[984, 988): 'Levy'",PER,,,,,,,
17,train,65,"[1169, 1173): 'Best'",ORG,,,,,,,
17,train,65,"[1335, 1339): 'Best'",ORG,,,,,,,
17,train,66,"[62, 68): 'LONDON'",LOC,,,,,,,
17,train,66,"[322, 327): 'Crohn'",PER,,,,,,,
17,train,66,"[364, 380): 'Andrew Wakefield'",PER,,,,,,,
17,train,66,"[478, 497): 'University Hospital'",LOC,,,,,,,
17,train,66,"[499, 506): 'Uppsala'",LOC,,,,,,,
17,train,66,"[612, 617): 'Crohn'",PER,,,,,,,
17,train,66,"[631, 640): 'Wakefield'",PER,,,,,,,
17,train,66,"[686, 691): 'Crohn'",PER,,,,,,,
17,train,66,"[981, 987): 'German'",MISC,,,,,,,
17,train,67,"[62, 68): 'LONDON'",LOC,,,,,,,
17,train,67,"[171, 204): 'Confederation of British Industry'",ORG,,,,,,,
17,train,67,"[749, 751): 'UK'",LOC,,,,,,,
17,train,67,"[810, 826): 'Rosemary Bennett'",PER,,,,,,,
17,train,67,"[828, 843): 'London Newsroom'",ORG,,,,,,,
17,train,68,"[29, 35): 'LONDON'",LOC,,,,,,,
17,train,68,"[168, 173): 'Greek'",MISC,,,,,,,
17,train,68,"[198, 215): 'Sairyu Maru No: 2'",MISC,,,,,,,
17,train,68,"[249, 254): 'Greek'",MISC,,,,,,,
17,train,69,"[63, 69): 'LONDON'",LOC,,,,,,,
17,train,69,"[171, 178): 'British'",MISC,,,,,,,
17,train,69,"[238, 255): 'Oxford University'",ORG,,,,,,,
17,train,69,"[1285, 1305): 'Lichtwer Pharma GmbH'",ORG,,,,,,,
17,train,69,"[1422, 1437): 'London Newsroom'",ORG,,,,,,,
17,train,70,"[11, 18): 'Britain'",LOC,,,,,,,
17,train,70,"[44, 53): 'Caribbean'",LOC,,,,,,,
17,train,70,"[62, 68): 'LONDON'",LOC,,,,,,,
17,train,70,"[80, 87): 'Britain'",LOC,,,,,,,
17,train,70,"[197, 207): 'Montserrat'",LOC,,,,,,,
17,train,70,"[645, 652): 'Britain'",LOC,,,,,,,
17,train,70,"[655, 690): 'Overseas Development Administration'",ORG,,,,,,,
17,train,70,"[712, 719): 'Britain'",LOC,,,,,,,
17,train,70,"[761, 771): 'Montserrat'",LOC,,,,,,,
17,train,70,"[884, 897): 'Lynda Chalker'",PER,,,,,,,
17,train,70,"[934, 948): 'Montserratians'",MISC,,,,,,,
17,train,71,"[19, 32): 'Philippoussis'",PER,,,,,,,
17,train,71,"[43, 50): 'Sampras'",PER,,,,,,,
17,train,71,"[115, 127): 'Pete Sampras'",PER,,,,,,,
17,train,71,"[198, 209): 'Steffi Graf'",PER,,,,,,,
17,train,71,"[309, 316): 'Sampras'",PER,,,,,,,
17,train,71,"[366, 376): 'David Rikl'",PER,,,,,,,
17,train,71,"[384, 398): 'Czech Republic'",LOC,,,,,,,
17,train,71,"[417, 421): 'Graf'",PER,,,,,,,
17,train,71,"[455, 467): 'Yayuk Basuki'",PER,,,,,,,
17,train,71,"[471, 480): 'Indonesia'",LOC,,,,,,,
17,train,71,"[494, 503): 'U.S. Open'",MISC,,,,,,,
17,train,71,"[629, 636): 'Sampras'",PER,,,,,,,
17,train,71,"[695, 713): 'Mark Philippoussis'",PER,,,,,,,
17,train,71,"[750, 757): 'Sampras'",PER,,,,,,,
17,train,71,"[784, 799): 'Australian Open'",MISC,,,,,,,
17,train,71,"[812, 819): 'Sampras'",PER,,,,,,,
17,train,71,"[922, 931): 'Wimbledon'",LOC,,,,,,,
17,train,71,"[958, 966): 'New York'",LOC,,,,,,,
17,train,71,"[1046, 1050): 'Graf'",PER,,,,,,,
17,train,71,"[1153, 1159): 'German'",MISC,,,,,,,
17,train,71,"[1254, 1269): 'Natasha Zvereva'",PER,,,,,,,
17,train,71,"[1273, 1280): 'Belarus'",LOC,,,,,,,
17,train,71,"[1352, 1364): 'Andre Agassi'",PER,,,,,,,
17,train,71,"[1376, 1383): 'Sampras'",PER,,,,,,,
17,train,71,"[1412, 1418): 'Agassi'",PER,,,,,,,
17,train,71,"[1490, 1497): 'Sampras'",PER,,,,,,,
17,train,71,"[1570, 1577): 'Olympic'",MISC,,,,,,,
17,train,71,"[1587, 1593): 'Agassi'",PER,,,,,,,
17,train,71,"[1600, 1611): 'Karim Alami'",PER,,,,,,,
17,train,71,"[1615, 1622): 'Morocco'",LOC,,,,,,,
17,train,71,"[1664, 1677): 'Michael Chang'",PER,,,,,,,
17,train,71,"[1720, 1725): 'Czech'",MISC,,,,,,,
17,train,71,"[1726, 1738): 'Daniel Vacek'",PER,,,,,,,
17,train,71,"[1766, 1778): 'Monica Seles'",PER,,,,,,,
17,train,71,"[1784, 1792): 'American'",MISC,,,,,,,
17,train,71,"[1793, 1804): 'Anne Miller'",PER,,,,,,,
17,train,71,"[1849, 1862): 'Thomas Muster'",PER,,,,,,,
17,train,71,"[1949, 1955): 'Muster'",PER,,,,,,,
17,train,71,"[1962, 1970): 'American'",MISC,,,,,,,
17,train,71,"[1971, 1986): 'Richey Reneberg'",PER,,,,,,,
17,train,71,"[2072, 2078): 'Muster'",PER,,,,,,,
17,train,71,"[2121, 2130): 'Wimbledon'",MISC,,,,,,,
17,train,71,"[2140, 2156): 'Richard Krajicek'",PER,,,,,,,
17,train,71,"[2164, 2175): 'Netherlands'",LOC,,,,,,,
17,train,71,"[2191, 2199): 'American'",MISC,,,,,,,
17,train,71,"[2200, 2211): 'Todd Martin'",PER,,,,,,,
17,train,71,"[2237, 2242): 'Chang'",PER,,,,,,,
17,train,71,"[2365, 2376): 'Jim Courier'",PER,,,,,,,
17,train,71,"[2399, 2412): 'Stefan Edberg'",PER,,,,,,,
17,train,71,"[2426, 2431): 'Swede'",MISC,,,,,,,
17,train,71,"[2508, 2518): 'Grand Slam'",MISC,,,,,,,
17,train,71,"[2586, 2599): 'Philippoussis'",PER,,,,,,,
17,train,71,"[2610, 2617): 'Sampras'",PER,,,,,,,
17,train,71,"[2704, 2718): 'Cedric Pioline'",PER,,,,,,,
17,train,71,"[2730, 2741): 'French Open'",MISC,,,,,,,
17,train,71,"[2813, 2818): 'Seles'",PER,,,,,,,
17,train,71,"[2833, 2837): 'Graf'",PER,,,,,,,
17,train,71,"[2941, 2958): 'Conchita Martinez'",PER,,,,,,,
17,train,71,"[2993, 3010): 'Lindsay Davenport'",PER,,,,,,,
17,train,71,"[3065, 3070): 'Huber'",PER,,,,,,,
17,train,71,"[3157, 3170): 'South African'",MISC,,,,,,,
17,train,71,"[3171, 3185): 'Amanda Coetzer'",PER,,,,,,,
17,train,71,"[3187, 3202): 'Sanchez Vicario'",PER,,,,,,,
17,train,71,"[3217, 3221): 'Graf'",PER,,,,,,,
17,train,71,"[3229, 3240): 'French Open'",MISC,,,,,,,
17,train,71,"[3340, 3354): 'Martina Hingis'",PER,,,,,,,
17,train,71,"[3437, 3449): 'Jana Novotna'",PER,,,,,,,
17,train,71,"[3451, 3459): 'Martinez'",PER,,,,,,,
17,train,71,"[3480, 3497): 'Ruxandra Dragomir'",PER,,,,,,,
17,train,71,"[3501, 3508): 'Romania'",LOC,,,,,,,
17,train,71,"[3513, 3528): 'Sydney Newsroom'",ORG,,,,,,,
17,train,72,"[11, 15): 'RTRS'",ORG,,,,,,,
17,train,72,"[25, 31): 'Muster'",PER,,,,,,,
17,train,72,"[39, 52): 'Philippoussis'",PER,,,,,,,
17,train,72,"[59, 70): 'Stoltenberg'",PER,,,,,,,
17,train,72,"[78, 85): 'TORONTO'",LOC,,,,,,,
17,train,72,"[108, 121): 'Thomas Muster'",PER,,,,,,,
17,train,72,"[125, 132): 'Austria'",LOC,,,,,,,
17,train,72,"[168, 181): 'Daniel Nestor'",PER,,,,,,,
17,train,72,"[185, 191): 'Canada'",LOC,,,,,,,
17,train,72,"[242, 255): 'Canadian Open'",MISC,,,,,,,
17,train,72,"[291, 297): 'Nestor'",PER,,,,,,,
17,train,72,"[409, 415): 'Muster'",PER,,,,,,,
17,train,72,"[618, 625): 'Croatia'",LOC,,,,,,,
17,train,72,"[666, 682): 'Mikael Tillstrom'",PER,,,,,,,
17,train,72,"[686, 692): 'Sweden'",LOC,,,,,,,
17,train,72,"[743, 757): 'Wayne Ferreira'",PER,,,,,,,
17,train,72,"[761, 773): 'South Africa'",LOC,,,,,,,
17,train,72,"[787, 799): 'Marcelo Rios'",PER,,,,,,,
17,train,72,"[803, 808): 'Chile'",LOC,,,,,,,
17,train,72,"[821, 839): 'MaliVai Washington'",PER,,,,,,,
17,train,72,"[847, 860): 'United States'",LOC,,,,,,,
17,train,72,"[918, 929): 'Marc Rosset'",PER,,,,,,,
17,train,72,"[933, 944): 'Switzerland'",LOC,,,,,,,
17,train,72,"[1004, 1022): 'Mark Philippoussis'",PER,,,,,,,
17,train,72,"[1026, 1035): 'Australia'",LOC,,,,,,,
17,train,72,"[1139, 1152): 'Philippoussis'",PER,,,,,,,
17,train,72,"[1177, 1194): 'Jason Stoltenberg'",PER,,,,,,,
17,train,72,"[1336, 1348): 'Daniel Vacek'",PER,,,,,,,
17,train,72,"[1356, 1370): 'Czech Republic'",LOC,,,,,,,
17,train,72,"[1468, 1474): 'Nestor'",PER,,,,,,,
17,train,72,"[1562, 1570): 'Canadian'",MISC,,,,,,,
17,train,72,"[1577, 1583): 'Muster'",PER,,,,,,,
17,train,72,"[1796, 1802): 'Muster'",PER,,,,,,,
17,train,72,"[2096, 2102): 'Muster'",PER,,,,,,,
17,train,72,"[2278, 2288): 'Ivanisevic'",PER,,,,,,,
17,train,72,"[2385, 2394): 'Tillstrom'",PER,,,,,,,
17,train,72,"[2449, 2462): 'Stefan Edberg'",PER,,,,,,,
17,train,72,"[2497, 2507): 'Ivanisevic'",PER,,,,,,,
17,train,72,"[2577, 2586): 'Tillstrom'",PER,,,,,,,
17,train,72,"[2642, 2654): 'Indianapolis'",LOC,,,,,,,
17,train,72,"[2675, 2687): 'Pete Sampras'",PER,,,,,,,
17,train,72,"[2695, 2699): 'U.S.'",LOC,,,,,,,
17,train,72,"[2807, 2814): 'Toronto'",LOC,,,,,,,
17,train,72,"[3008, 3017): 'Tillstrom'",PER,,,,,,,
17,train,72,"[3035, 3048): 'Philippoussis'",PER,,,,,,,
17,train,72,"[3059, 3066): 'Sampras'",PER,,,,,,,
17,train,72,"[3101, 3116): 'Australian Open'",MISC,,,,,,,
17,train,72,"[3169, 3175): 'Rosset'",PER,,,,,,,
17,train,73,"[30, 42): 'South Korean'",MISC,,,,,,,
17,train,73,"[61, 66): 'SEOUL'",LOC,,,,,,,
17,train,73,"[89, 101): 'South Korean'",MISC,,,,,,,
17,train,73,"[140, 146): 'Anyang'",ORG,,,,,,,
17,train,73,"[149, 156): 'Chonnam'",ORG,,,,,,,
17,train,73,"[174, 180): 'Puchon'",ORG,,,,,,,
17,train,73,"[183, 188): 'Suwon'",ORG,,,,,,,
17,train,73,"[355, 361): 'Chonan'",ORG,,,,,,,
17,train,73,"[374, 380): 'Anyang'",ORG,,,,,,,
17,train,73,"[393, 398): 'Suwon'",ORG,,,,,,,
17,train,73,"[411, 417): 'Pohang'",ORG,,,,,,,
